;Superficie [en km²];Population;Densite [hab. /km²];nom_dep
1;10000;1376000;138;Gironde
2;9243;327334;35;Landes
3;9060;401500;43;Dordogne
4;8763;506755;58;Côte-d'Or
5;8735;271200;31;Aveyron
6;8575;544893;64;Saône-et-Loire
7;8162;565229;69;Marne
8;7970;621000;76;Puy-de-Dôme
9;7645;600018;78;Pyrénées-Atlantiques
10;7431;1172000;157;Isère
11;7427;341000;45;Yonne
12;7369;535489;73;Aisne
13;7340;342284;47;Allier
14;7235;314428;43;Cher
15;7166;782225;102;Maine-et-Loire
16;7016;610000;90;Vendée
17;6990;399024;57;Vienne
18;6925;153000;22;Alpes-de-Haute-Provence
19;6878;569500;82;Côtes-d'Armor
20;6864;557024;81;Charente-Maritime
21;6823;643873;94;Morbihan
22;6817;225198;33;Nièvre
23;6815;1209000;177;Loire-Atlantique
24;6791;232000;34;Indre
25;6775;930000;133;Ille-et-Vilaine
26;6775;645000;95;Loiret
27;6733;852418;127;Finistère
28;6671;1456000;218;Pas-de-Calais
29;6530;457651;67;Drôme
30;6343;314968;50;Loir-et-Cher
31;6309;1135000;180;Haute-Garonne
32;6278;1245000;198;Seine-Maritime
33;6257;178000;28;Gers
34;6224;992500;159;Hérault
35;6216;1039500;165;Moselle
36;6211;192198;31;Meuse
37;6211;186500;30;Haute-Marne
38;6206;529851;85;Sarthe
39;6170;555551;90;Somme
40;6139;309770;50;Aude
41;6127;571500;93;Indre-et-Loire
42;6103;292337;48;Orne
43;6040;541054;90;Eure
44;6028;392156;62;Savoie
45;6004;292131;49;Aube
46;5999;352000;59;Deux-Sèvres
47;5973;990000;166;Var
48;5956;339628;57;Charente
49;5938;489500;82;Manche
50;5915;1260000;213;Seine-et-Marne
51;5880;417000;71;Eure-et-Loir
52;5874;380952;65;Vosges
53;5860;780000;133;Oise
54;5857;232576;40;Corrèze
55;5853;623125;106;Gard
56;5762;565000;97;Ain
57;5758;360000;60;Tarn
58;5743;2577000;449;Nord
59;5726;150772;26;Cantal
60;5565;124470;22;Creuse
61;5549;132000;23;Hautes-Alpes
62;5548;664000;120;Calvados
63;5529;286023;52;Ardèche
64;5520;353893;64;Haute-Vienne
65;5361;305380;57;Lot-et-Garonne
66;5360;229732;43;Haute-Saône
67;5246;723000;138;Meurthe-et-Moselle
68;5234;499062;95;Doubs
69;5229;290130;55;Ardennes
70;5217;168500;32;Lot
71;5175;285338;55;Mayenne
72;5167;77000;15;Lozère
73;5087;1906000;375;Bouches-du-Rhône
74;4999;250857;50;Jura
75;4977;209113;42;Haute-Loire
76;4890;137205;28;Ariège
77;4781;732000;153;Loire
78;4755;1063000;224;Bas-Rhin
79;4666;148000;30;Haute-Corse
80;4464;222368;50;Hautes-Pyrénées
81;4388;631679;144;Haute-Savoie
82;4299;1070000;246;Alpes-Maritimes
83;4116;426000;104;Pyrénées-Orientales
84;4014;118593;30;Corse-du-Sud
85;3718;222999;60;Tarn-et-Garonne
86;3567;529000;140;Vaucluse
87;3525;731000;207;Haut-Rhin
88;3249;1667500;513;Rhône
90;2284;1395000;611;Yvelines
91;1804;1188000;659;Essonne
93;1246;1105464;887;Val-d'Oise
95;609;137408;225;Territoire de Belfort
96;245;1279000;5220;Val-de-Marne
97;236;1485000;6292;Seine-Saint-Denis
98;176;1517000;8619;Hauts-de-Seine
99;105;2166200;20433;Paris
